[2025-03-11 15:48:10] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:12] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:13] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:14] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:15] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:16] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:18] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:19] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:19] Tentative d'arrêt détectée - Processus : powershell.exe (PID: 9240) | Utilisateur : CyberBeast
[2025-03-11 15:48:20] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:21] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:23] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:24] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:25] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:26] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:27] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:29] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:30] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:31] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:32] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
